#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   0.11307     -3.158174  0.008  0.180  0.000  0.632  0.000  0.000  0.000  0.000  0.000  0.820
   0.15076     -3.269214  0.014  0.188  0.000  0.616  0.000  0.000  0.000  0.000  0.000  0.818
   0.18844     -3.409142  0.022  0.192  0.000  0.602  0.000  0.000  0.000  0.000  0.000  0.816
   0.22613     -3.576028  0.032  0.192  0.000  0.590  0.000  0.000  0.000  0.000  0.000  0.812
   0.26382     -3.767774  0.042  0.190  0.000  0.578  0.000  0.000  0.000  0.000  0.000  0.808
   0.30151     -3.982166  0.052  0.188  0.000  0.566  0.000  0.000  0.000  0.000  0.000  0.804
   0.33920     -4.216941  0.064  0.184  0.000  0.554  0.000  0.000  0.000  0.000  0.000  0.800
   0.37689     -4.469905  0.076  0.180  0.000  0.540  0.000  0.000  0.000  0.000  0.000  0.796
   0.41458     -4.738899  0.088  0.176  0.000  0.528  0.000  0.000  0.000  0.000  0.000  0.792
   0.45227     -5.021911  0.102  0.172  0.000  0.514  0.000  0.000  0.000  0.000  0.000  0.788
   0.48996     -5.317035  0.114  0.168  0.000  0.502  0.000  0.000  0.000  0.000  0.000  0.784
   0.52764     -5.622537  0.128  0.164  0.000  0.488  0.000  0.000  0.000  0.000  0.000  0.780
   0.56533     -5.936796  0.140  0.160  0.000  0.476  0.000  0.000  0.000  0.000  0.000  0.776
   0.60302     -6.258303  0.154  0.156  0.000  0.462  0.000  0.000  0.000  0.000  0.000  0.770
   0.64071     -6.294139  0.000  0.000  0.442  0.000  0.000  0.000  0.000  0.000  0.000  0.442
   0.67840     -6.137877  0.000  0.000  0.442  0.000  0.000  0.000  0.000  0.000  0.000  0.442
   0.71609     -5.973646  0.000  0.000  0.444  0.000  0.000  0.000  0.000  0.000  0.000  0.444
   0.75378     -5.801659  0.000  0.000  0.446  0.000  0.000  0.000  0.000  0.000  0.000  0.446
   0.79147     -5.622174  0.000  0.000  0.448  0.000  0.000  0.000  0.000  0.000  0.000  0.448
   0.82916     -5.435512  0.000  0.000  0.450  0.000  0.000  0.000  0.000  0.000  0.000  0.450
