#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   5.43280    -13.942692  0.264  0.040  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.348
   5.47827    -14.182325  0.265  0.037  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.346
   5.52373    -14.415175  0.267  0.034  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.344
   5.56920    -14.640223  0.269  0.030  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.343
   5.61466    -14.856829  0.271  0.027  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.341
   5.66012    -15.064458  0.274  0.024  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.340
   5.70559    -15.262696  0.276  0.021  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.339
   5.75105    -15.451261  0.278  0.018  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.338
   5.79651    -15.629875  0.281  0.016  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.337
   5.84198    -15.798334  0.283  0.013  0.000  0.039  0.000  0.000  0.000  0.000  0.000  0.336
 
# Band-Index    2
   5.84198     -8.484460  0.136  0.058  0.000  0.171  0.000  0.000  0.000  0.000  0.000  0.366
   5.79651     -8.763693  0.141  0.055  0.000  0.169  0.000  0.000  0.000  0.000  0.000  0.364
   5.75105     -9.037360  0.145  0.052  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.363
   5.70559     -9.304559  0.149  0.048  0.000  0.164  0.000  0.000  0.000  0.000  0.000  0.362
   5.66012     -9.564523  0.153  0.045  0.000  0.162  0.000  0.000  0.000  0.000  0.000  0.360
   5.61466     -9.816434  0.157  0.042  0.000  0.160  0.000  0.000  0.000  0.000  0.000  0.359
   5.56920    -10.059662  0.160  0.039  0.000  0.159  0.000  0.000  0.000  0.000  0.000  0.358
   5.52373    -10.293495  0.163  0.036  0.000  0.157  0.000  0.000  0.000  0.000  0.000  0.357
   5.47827    -10.517074  0.165  0.034  0.000  0.156  0.000  0.000  0.000  0.000  0.000  0.355
   5.43280    -10.729494  0.167  0.031  0.000  0.155  0.000  0.000  0.000  0.000  0.000  0.354
   5.38734    -10.929382  0.169  0.030  0.000  0.154  0.000  0.000  0.000  0.000  0.000  0.353
   5.34188    -11.114586  0.169  0.028  0.000  0.154  0.000  0.000  0.000  0.000  0.000  0.351
   5.29641    -11.281553  0.167  0.028  0.000  0.154  0.000  0.000  0.000  0.000  0.000  0.349
   5.25095    -11.423377  0.164  0.029  0.000  0.155  0.000  0.000  0.000  0.000  0.000  0.347
   5.20549    -11.525924  0.159  0.033  0.000  0.154  0.000  0.000  0.000  0.000  0.000  0.345
   5.16002    -11.562401  0.155  0.041  0.000  0.148  0.000  0.000  0.000  0.000  0.000  0.344
   5.11456    -11.501483  0.158  0.053  0.000  0.134  0.000  0.000  0.000  0.000  0.000  0.345
   5.06910    -11.345244  0.170  0.063  0.000  0.117  0.000  0.000  0.000  0.000  0.000  0.350
   5.02363    -11.131743  0.182  0.068  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.355
   4.97817    -10.897555  0.193  0.069  0.000  0.099  0.000  0.000  0.000  0.000  0.000  0.361
   4.93271    -10.670452  0.203  0.067  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.366
   4.88724    -10.478646  0.213  0.062  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.371
   4.84178    -10.355162  0.218  0.059  0.000  0.097  0.000  0.000  0.000  0.000  0.000  0.374
   4.79632    -10.323825  0.214  0.060  0.000  0.099  0.000  0.000  0.000  0.000  0.000  0.373
   4.75085    -10.377790  0.204  0.064  0.000  0.101  0.000  0.000  0.000  0.000  0.000  0.369
   4.70539    -10.488665  0.193  0.069  0.000  0.103  0.000  0.000  0.000  0.000  0.000  0.365
   4.65993    -10.630400  0.184  0.071  0.000  0.105  0.000  0.000  0.000  0.000  0.000  0.361
   4.61446    -10.786521  0.178  0.072  0.000  0.107  0.000  0.000  0.000  0.000  0.000  0.357
   4.56900    -10.947479  0.173  0.071  0.000  0.109  0.000  0.000  0.000  0.000  0.000  0.354
   4.52354    -11.107570  0.170  0.069  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.351
   4.47807    -11.263231  0.166  0.067  0.000  0.115  0.000  0.000  0.000  0.000  0.000  0.348
   4.43261    -11.411802  0.163  0.064  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.346
   4.38714    -11.551254  0.160  0.062  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.344
   4.34168    -11.679600  0.157  0.059  0.000  0.126  0.000  0.000  0.000  0.000  0.000  0.342
   4.29622    -11.794904  0.153  0.056  0.000  0.130  0.000  0.000  0.000  0.000  0.000  0.340
   4.25075    -11.894907  0.149  0.054  0.000  0.135  0.000  0.000  0.000  0.000  0.000  0.338
   4.20529    -11.977211  0.145  0.052  0.000  0.139  0.000  0.000  0.000  0.000  0.000  0.336
   4.15983    -12.038914  0.141  0.050  0.000  0.143  0.000  0.000  0.000  0.000  0.000  0.334
   4.11436    -12.077308  0.138  0.049  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.333
   4.06890    -12.090399  0.137  0.049  0.000  0.147  0.000  0.000  0.000  0.000  0.000  0.333
   4.06890    -12.090399  0.137  0.049  0.000  0.147  0.000  0.000  0.000  0.000  0.000  0.333
   4.03121    -12.017991  0.144  0.048  0.000  0.143  0.000  0.000  0.000  0.000  0.000  0.335
   3.99352    -11.837075  0.155  0.046  0.000  0.138  0.000  0.000  0.000  0.000  0.000  0.340
   3.95583    -11.599460  0.162  0.045  0.000  0.136  0.000  0.000  0.000  0.000  0.000  0.343
   3.91814    -11.332483  0.165  0.045  0.000  0.136  0.000  0.000  0.000  0.000  0.000  0.346
   3.88046    -11.048190  0.165  0.046  0.000  0.138  0.000  0.000  0.000  0.000  0.000  0.349
   3.84277    -10.752110  0.164  0.047  0.000  0.140  0.000  0.000  0.000  0.000  0.000  0.351
   3.80508    -10.447238  0.162  0.048  0.000  0.144  0.000  0.000  0.000  0.000  0.000  0.354
   3.76739    -10.135320  0.159  0.049  0.000  0.148  0.000  0.000  0.000  0.000  0.000  0.356
   3.72970     -9.817460  0.155  0.051  0.000  0.152  0.000  0.000  0.000  0.000  0.000  0.358
   3.69201     -9.494601  0.151  0.052  0.000  0.157  0.000  0.000  0.000  0.000  0.000  0.360
   3.65432     -9.167355  0.146  0.054  0.000  0.161  0.000  0.000  0.000  0.000  0.000  0.361
   3.61663     -8.836414  0.141  0.056  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.363
   3.57894     -8.502284  0.136  0.057  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.365
   3.54126     -8.165599  0.131  0.059  0.000  0.177  0.000  0.000  0.000  0.000  0.000  0.367
   3.50357     -7.826989  0.125  0.061  0.000  0.183  0.000  0.000  0.000  0.000  0.000  0.369
   3.46588     -7.486956  0.120  0.063  0.000  0.188  0.000  0.000  0.000  0.000  0.000  0.371
   3.42819     -7.146265  0.114  0.065  0.000  0.194  0.000  0.000  0.000  0.000  0.000  0.373
   3.39050     -6.805600  0.108  0.067  0.000  0.200  0.000  0.000  0.000  0.000  0.000  0.375
   3.35281     -6.465716  0.102  0.069  0.000  0.206  0.000  0.000  0.000  0.000  0.000  0.377
   3.31512     -6.127467  0.096  0.071  0.000  0.212  0.000  0.000  0.000  0.000  0.000  0.379
   3.27743     -5.791775  0.089  0.073  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.381
   3.23974     -5.459642  0.083  0.075  0.000  0.225  0.000  0.000  0.000  0.000  0.000  0.383
   3.20206     -5.316117  0.000  0.000  0.220  0.000  0.000  0.000  0.000  0.000  0.000  0.220
   3.16437     -5.455858  0.000  0.000  0.219  0.000  0.000  0.000  0.000  0.000  0.000  0.219
   3.12668     -5.587118  0.000  0.000  0.219  0.000  0.000  0.000  0.000  0.000  0.000  0.219
   3.08899     -5.709771  0.000  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.000  0.218
   3.05130     -5.823720  0.000  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.000  0.218
   3.01361     -5.928833  0.000  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.000  0.218
   2.97592     -6.025044  0.000  0.000  0.217  0.000  0.000  0.000  0.000  0.000  0.000  0.217
   2.93823     -6.112290  0.000  0.000  0.217  0.000  0.000  0.000  0.000  0.000  0.000  0.217
   2.90054     -6.190505  0.000  0.000  0.217  0.000  0.000  0.000  0.000  0.000  0.000  0.217
   2.86286     -6.259631  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.82517     -6.319634  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.78748     -6.370469  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.74979     -6.412098  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.71210     -6.444504  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.67441     -6.467660  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.63672     -6.481567  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.59903     -6.486196  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.59903     -6.486196  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.53239     -6.471699  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.46575     -6.428229  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.39911     -6.355862  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.33247     -6.254740  0.000  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.000  0.216
   2.26582     -6.125052  0.000  0.000  0.217  0.000  0.000  0.000  0.000  0.000  0.000  0.217
   2.19918     -5.967063  0.000  0.000  0.217  0.000  0.000  0.000  0.000  0.000  0.000  0.217
   2.13254     -5.781104  0.000  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.000  0.218
   2.06590     -5.567584  0.000  0.000  0.219  0.000  0.000  0.000  0.000  0.000  0.000  0.219
   1.99926     -5.327024  0.000  0.000  0.220  0.000  0.000  0.000  0.000  0.000  0.000  0.220
   1.93261     -5.394882  0.087  0.282  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.388
   1.86597     -5.923629  0.098  0.271  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.385
   1.79933     -6.455596  0.108  0.260  0.000  0.015  0.000  0.000  0.000  0.000  0.000  0.383
   1.73269     -6.987171  0.119  0.249  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.380
   1.66605     -7.515088  0.128  0.238  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.377
   1.59941     -8.036707  0.138  0.227  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.374
   1.53276     -8.549563  0.147  0.216  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.371
   1.46612     -9.051431  0.155  0.206  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.368
   1.39948     -9.540044  0.162  0.196  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.366
   1.33284    -10.012753  0.168  0.187  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.363
   1.26620    -10.465792  0.173  0.180  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.359
   1.19955    -10.892039  0.175  0.175  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.356
   1.13291    -11.272159  0.171  0.176  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.352
   1.06627    -11.530214  0.159  0.187  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.346
   0.99963    -11.457788  0.164  0.183  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.348
   0.93299    -11.095418  0.180  0.170  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.356
   0.86634    -10.652479  0.187  0.164  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.363
   0.79970    -10.205512  0.192  0.158  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.369
   0.73306     -9.796717  0.195  0.144  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.375
   0.66642     -9.468946  0.193  0.118  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.378
   0.59978     -9.248462  0.184  0.088  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.378
   0.53314     -9.117334  0.172  0.065  0.000  0.138  0.000  0.000  0.000  0.000  0.000  0.375
   0.46649     -9.035747  0.162  0.053  0.000  0.157  0.000  0.000  0.000  0.000  0.000  0.372
   0.39985     -8.973718  0.154  0.047  0.000  0.168  0.000  0.000  0.000  0.000  0.000  0.369
   0.33321     -8.914763  0.149  0.046  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.368
   0.26657     -8.850526  0.146  0.046  0.000  0.175  0.000  0.000  0.000  0.000  0.000  0.366
   0.19993     -8.776779  0.143  0.048  0.000  0.175  0.000  0.000  0.000  0.000  0.000  0.366
   0.13328     -8.691500  0.140  0.051  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.365
   0.06664     -8.593995  0.138  0.054  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.365
   0.00000     -8.484460  0.136  0.058  0.000  0.171  0.000  0.000  0.000  0.000  0.000  0.366
 
# Band-Index    3
   0.00000     -4.629098  0.000  0.295  0.000  0.099  0.000  0.000  0.000  0.000  0.000  0.394
   0.06664     -4.708725  0.001  0.294  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.393
   0.13328     -4.887292  0.005  0.290  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.391
   0.19993     -5.154611  0.011  0.281  0.000  0.095  0.000  0.000  0.000  0.000  0.000  0.387
   0.26657     -5.495558  0.017  0.269  0.000  0.095  0.000  0.000  0.000  0.000  0.000  0.382
   0.33321     -5.892346  0.024  0.255  0.000  0.097  0.000  0.000  0.000  0.000  0.000  0.376
   0.39985     -6.325359  0.029  0.237  0.000  0.103  0.000  0.000  0.000  0.000  0.000  0.369
   0.46649     -6.772415  0.031  0.216  0.000  0.115  0.000  0.000  0.000  0.000  0.000  0.363
   0.53314     -7.205206  0.030  0.188  0.000  0.137  0.000  0.000  0.000  0.000  0.000  0.356
   0.59978     -7.583805  0.027  0.151  0.000  0.171  0.000  0.000  0.000  0.000  0.000  0.349
   0.66642     -7.860099  0.025  0.107  0.000  0.212  0.000  0.000  0.000  0.000  0.000  0.345
   0.73306     -8.008947  0.030  0.069  0.000  0.246  0.000  0.000  0.000  0.000  0.000  0.345
   0.79970     -8.049474  0.037  0.046  0.000  0.266  0.000  0.000  0.000  0.000  0.000  0.348
   0.86634     -8.015357  0.042  0.032  0.000  0.277  0.000  0.000  0.000  0.000  0.000  0.351
   0.93299     -7.930432  0.045  0.025  0.000  0.284  0.000  0.000  0.000  0.000  0.000  0.354
   0.99963     -7.807881  0.046  0.021  0.000  0.290  0.000  0.000  0.000  0.000  0.000  0.356
   1.06627     -7.655016  0.046  0.018  0.000  0.295  0.000  0.000  0.000  0.000  0.000  0.359
   1.13291     -7.475974  0.044  0.017  0.000  0.300  0.000  0.000  0.000  0.000  0.000  0.361
   1.19955     -7.273420  0.041  0.016  0.000  0.305  0.000  0.000  0.000  0.000  0.000  0.363
   1.26620     -7.049317  0.038  0.016  0.000  0.311  0.000  0.000  0.000  0.000  0.000  0.365
   1.33284     -6.805262  0.035  0.016  0.000  0.316  0.000  0.000  0.000  0.000  0.000  0.367
   1.39948     -6.542732  0.031  0.016  0.000  0.321  0.000  0.000  0.000  0.000  0.000  0.369
