#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 120  16
# Band-Index    1
   3.32405      7.180490     0.009
   3.28046      7.360049     0.312
   3.23686      6.980687     0.311
   3.19327      7.049857     0.001
   3.14967      7.331375     0.001
   3.10608      7.627306     0.001
   3.06248      7.937643     0.000
   3.01889      8.262374     0.000
   2.97529      8.601486     0.001
   2.93170      8.954964     0.001
   2.88810      9.322785     0.001
   2.84451      9.704919     0.001
   2.80091     10.101326     0.001
   2.75732     10.511946     0.001
   2.71372     10.936690     0.002
   2.67013     11.375407     0.002
   2.62653     11.827821     0.002
   2.58294     12.293297     0.003
   2.53934     12.769390     0.007
   2.49575     13.041443     0.225
   2.45215     13.054489     0.205
   2.40856     13.039304     0.181
   2.36496     12.999398     0.154
   2.32137     12.970224     0.130
   2.32137     12.970224     0.130
   2.29953     12.986072     0.134
   2.27770     12.970318     0.134
