     #Energy         C_s        C_px        C_py        C_pz
   -17.63598     0.18786     0.01216     0.01223     0.00000
   -17.62198     0.18816     0.01223     0.01231     0.00000
   -17.60898     0.18844     0.01231     0.01239     0.00000
   -17.59598     0.18872     0.01239     0.01246     0.00000
   -17.58198     0.18900     0.01247     0.01254     0.00000
   -17.56898     0.18930     0.01254     0.01262     0.00000
   -17.55498     0.18958     0.01262     0.01270     0.00000
   -17.54198     0.18794     0.01283     0.01278     0.00000
   -17.52798     0.18406     0.01299     0.01306     0.00000
   -17.51498     0.18368     0.01309     0.01316     0.00000
   -17.50098     0.18330     0.01319     0.01326     0.00000
   -17.48798     0.18292     0.01329     0.01335     0.00000
   -17.47498     0.18256     0.01338     0.01345     0.00000
   -17.46098     0.18218     0.01348     0.01355     0.00000
   -17.44798     0.18180     0.01358     0.01365     0.00000
   -17.43398     0.18142     0.01368     0.01375     0.00000
   -17.42098     0.18104     0.01377     0.01385     0.00000
   -17.40698     0.18066     0.01387     0.01395     0.00000
   -17.39398     0.18028     0.01397     0.01404     0.00000
   -17.37998     0.17992     0.01407     0.01414     0.00000
   -17.36698     0.17954     0.01416     0.01424     0.00000
   -17.35398     0.17916     0.01426     0.01434     0.00000
   -17.33998     0.17878     0.01436     0.01444     0.00000
   -17.32698     0.17860     0.01444     0.01453     0.00000
   -17.31298     0.17866     0.01452     0.01461     0.00000
   -17.29998     0.17872     0.01460     0.01469     0.00000
   -17.28598     0.17880     0.01468     0.01477     0.00000
   -17.27298     0.17886     0.01476     0.01485     0.00000
   -17.25998     0.17894     0.01484     0.01493     0.00000
   -17.24598     0.17902     0.01492     0.01501     0.00000
   -17.23298     0.17908     0.01500     0.01509     0.00000
   -17.21898     0.17916     0.01508     0.01517     0.00000
   -17.20598     0.17922     0.01516     0.01525     0.00000
   -17.19198     0.17930     0.01524     0.01534     0.00000
   -17.17898     0.17936     0.01532     0.01542     0.00000
   -17.16498     0.17944     0.01540     0.01550     0.00000
   -17.15198     0.17950     0.01548     0.01558     0.00000
   -17.13898     0.17958     0.01556     0.01566     0.00000
   -17.12498     0.17966     0.01564     0.01574     0.00000
   -17.11198     0.17972     0.01572     0.01582     0.00000
   -17.09798     0.17980     0.01580     0.01590     0.00000
   -17.08498     0.17986     0.01588     0.01598     0.00000
   -17.07098     0.17994     0.01596     0.01606     0.00000
   -17.05798     0.18000     0.01604     0.01614     0.00000
   -17.04398     0.18008     0.01612     0.01622     0.00000
   -17.03098     0.18014     0.01620     0.01631     0.00000
   -17.01798     0.18022     0.01628     0.01639     0.00000
   -17.00398     0.18030     0.01636     0.01647     0.00000
   -16.99098     0.18036     0.01644     0.01655     0.00000
   -16.97698     0.18044     0.01652     0.01663     0.00000
   -16.96398     0.18050     0.01660     0.01671     0.00000
   -16.94998     0.18058     0.01668     0.01679     0.00000
   -16.93698     0.18064     0.01676     0.01687     0.00000
   -16.92298     0.18074     0.01684     0.01695     0.00000
   -16.90998     0.18090     0.01692     0.01703     0.00000
   -16.89698     0.18108     0.01699     0.01711     0.00000
   -16.88298     0.18126     0.01707     0.01718     0.00000
   -16.86998     0.18144     0.01714     0.01726     0.00000
   -16.85598     0.18162     0.01722     0.01733     0.00000
   -16.84298     0.18180     0.01729     0.01741     0.00000
   -16.82898     0.18198     0.01737     0.01749     0.00000
   -16.81598     0.18214     0.01744     0.01756     0.00000
   -16.80198     0.18232     0.01752     0.01764     0.00000
   -16.78898     0.18250     0.01759     0.01771     0.00000
   -16.77598     0.18268     0.01767     0.01779     0.00000
   -16.76198     0.18286     0.01774     0.01787     0.00000
   -16.74898     0.18304     0.01782     0.01794     0.00000
   -16.73498     0.18322     0.01790     0.01802     0.00000
   -16.72198     0.18310     0.01800     0.01810     0.00000
   -16.70798     0.18252     0.01813     0.01821     0.00000
   -16.69498     0.18174     0.01826     0.01835     0.00000
   -16.68198     0.18096     0.01839     0.01848     0.00000
   -16.66798     0.18018     0.01852     0.01861     0.00000
   -16.65498     0.17940     0.01865     0.01874     0.00000
   -16.64098     0.17862     0.01877     0.01887     0.00000
   -16.62798     0.17790     0.01889     0.01900     0.00000
   -16.61398     0.17748     0.01899     0.01912     0.00000
   -16.60098     0.17736     0.01908     0.01921     0.00000
   -16.58698     0.17728     0.01917     0.01930     0.00000
   -16.57398     0.17720     0.01926     0.01939     0.00000
   -16.56098     0.17712     0.01935     0.01948     0.00000
   -16.54698     0.17702     0.01943     0.01957     0.00000
   -16.53398     0.17694     0.01952     0.01966     0.00000
   -16.51998     0.17686     0.01961     0.01974     0.00000
   -16.50698     0.17678     0.01970     0.01983     0.00000
   -16.49298     0.17670     0.01979     0.01992     0.00000
   -16.47998     0.17662     0.01987     0.02002     0.00000
   -16.46598     0.17652     0.01996     0.02010     0.00000
   -16.45298     0.17644     0.02004     0.02018     0.00000
   -16.43998     0.17636     0.02014     0.02028     0.00000
   -16.42598     0.17628     0.02022     0.02036     0.00000
   -16.41298     0.17620     0.02032     0.02046     0.00000
   -16.39898     0.17612     0.02040     0.02054     0.00000
   -16.38598     0.17604     0.02048     0.02064     0.00000
   -16.37198     0.17594     0.02058     0.02072     0.00000
   -16.35898     0.17586     0.02066     0.02082     0.00000
   -16.34498     0.17578     0.02074     0.02090     0.00000
   -16.33198     0.17570     0.02084     0.02098     0.00000
   -16.31898     0.17570     0.02092     0.02108     0.00000
   -16.30498     0.17574     0.02100     0.02116     0.00000
   -16.29198     0.17584     0.02108     0.02122     0.00000
   -16.27798     0.17594     0.02114     0.02130     0.00000
   -16.26498     0.17604     0.02122     0.02138     0.00000
   -16.25098     0.17616     0.02130     0.02146     0.00000
   -16.23798     0.17626     0.02138     0.02154     0.00000
   -16.22398     0.17636     0.02144     0.02162     0.00000
   -16.21098     0.17646     0.02152     0.02170     0.00000
   -16.19798     0.17656     0.02160     0.02176     0.00000
   -16.18398     0.17666     0.02168     0.02184     0.00000
   -16.17098     0.17678     0.02176     0.02192     0.00000
   -16.15698     0.17688     0.02182     0.02200     0.00000
   -16.14398     0.17698     0.02190     0.02208     0.00000
   -16.12998     0.17708     0.02198     0.02216     0.00000
   -16.11698     0.17718     0.02206     0.02222     0.00000
   -16.10398     0.17728     0.02212     0.02230     0.00000
   -16.08998     0.17740     0.02220     0.02238     0.00000
   -16.07698     0.17750     0.02228     0.02246     0.00000
   -16.06298     0.17760     0.02236     0.02254     0.00000
   -16.04998     0.17770     0.02244     0.02262     0.00000
   -16.03598     0.17780     0.02250     0.02268     0.00000
   -16.02298     0.17792     0.02258     0.02276     0.00000
   -16.00898     0.17802     0.02266     0.02284     0.00000
   -15.99598     0.17812     0.02274     0.02292     0.00000
   -15.98298     0.17822     0.02280     0.02300     0.00000
   -15.96898     0.17832     0.02288     0.02308     0.00000
   -15.95598     0.17844     0.02296     0.02314     0.00000
   -15.94198     0.17854     0.02304     0.02322     0.00000
   -15.92898     0.17864     0.02310     0.02330     0.00000
   -15.91498     0.17874     0.02318     0.02338     0.00000
   -15.90198     0.17884     0.02326     0.02346     0.00000
   -15.88798     0.17896     0.02334     0.02354     0.00000
   -15.87498     0.17906     0.02342     0.02360     0.00000
   -15.86198     0.17916     0.02348     0.02368     0.00000
   -15.84798     0.17926     0.02356     0.02376     0.00000
   -15.83498     0.17938     0.02364     0.02384     0.00000
   -15.82098     0.17952     0.02372     0.02392     0.00000
   -15.80798     0.17968     0.02378     0.02398     0.00000
   -15.79398     0.17986     0.02386     0.02406     0.00000
   -15.78098     0.18004     0.02392     0.02414     0.00000
   -15.76698     0.18024     0.02400     0.02420     0.00000
   -15.75398     0.18042     0.02406     0.02428     0.00000
   -15.74098     0.18018     0.02422     0.02436     0.00000
   -15.72698     0.17970     0.02440     0.02448     0.00000
   -15.71398     0.17910     0.02454     0.02466     0.00000
   -15.69998     0.17840     0.02468     0.02486     0.00000
   -15.68698     0.17832     0.02478     0.02498     0.00000
   -15.67298     0.17826     0.02488     0.02508     0.00000
   -15.65998     0.17818     0.02498     0.02518     0.00000
   -15.64598     0.17810     0.02508     0.02528     0.00000
   -15.63298     0.17804     0.02518     0.02538     0.00000
   -15.61998     0.17796     0.02528     0.02548     0.00000
   -15.60598     0.17790     0.02538     0.02558     0.00000
   -15.59298     0.17782     0.02548     0.02570     0.00000
   -15.57898     0.17776     0.02558     0.02580     0.00000
   -15.56598     0.17768     0.02568     0.02590     0.00000
   -15.55198     0.17762     0.02578     0.02600     0.00000
   -15.53898     0.17758     0.02588     0.02610     0.00000
   -15.52598     0.17764     0.02596     0.02620     0.00000
   -15.51198     0.17776     0.02606     0.02628     0.00000
   -15.49898     0.17794     0.02614     0.02638     0.00000
   -15.48498     0.17814     0.02622     0.02646     0.00000
   -15.47198     0.17832     0.02630     0.02654     0.00000
   -15.45798     0.17850     0.02638     0.02662     0.00000
   -15.44498     0.17870     0.02646     0.02670     0.00000
   -15.43098     0.17888     0.02654     0.02678     0.00000
   -15.41798     0.17906     0.02662     0.02686     0.00000
   -15.40498     0.17926     0.02670     0.02694     0.00000
   -15.39098     0.17944     0.02678     0.02702     0.00000
   -15.37798     0.17964     0.02686     0.02712     0.00000
   -15.36398     0.17982     0.02694     0.02720     0.00000
   -15.35098     0.18002     0.02702     0.02728     0.00000
   -15.33698     0.18020     0.02710     0.02736     0.00000
   -15.32398     0.18040     0.02718     0.02744     0.00000
   -15.30998     0.18058     0.02726     0.02752     0.00000
   -15.29698     0.18078     0.02734     0.02760     0.00000
   -15.28398     0.18096     0.02742     0.02768     0.00000
   -15.26998     0.18116     0.02750     0.02776     0.00000
   -15.25698     0.18134     0.02758     0.02784     0.00000
   -15.24298     0.18154     0.02766     0.02792     0.00000
   -15.22998     0.18174     0.02774     0.02800     0.00000
   -15.21598     0.18192     0.02782     0.02808     0.00000
   -15.20298     0.18212     0.02790     0.02816     0.00000
   -15.18898     0.18232     0.02798     0.02824     0.00000
   -15.17598     0.18252     0.02806     0.02832     0.00000
   -15.16298     0.18278     0.02814     0.02840     0.00000
   -15.14898     0.18324     0.02824     0.02850     0.00000
   -15.13598     0.18382     0.02836     0.02860     0.00000
   -15.12198     0.18458     0.02850     0.02870     0.00000
   -15.10898     0.18542     0.02862     0.02884     0.00000
   -15.09498     0.18624     0.02874     0.02896     0.00000
   -15.08198     0.18708     0.02888     0.02908     0.00000
   -15.06798     0.18790     0.02900     0.02920     0.00000
   -15.05498     0.18874     0.02912     0.02932     0.00000
   -15.04198     0.18956     0.02924     0.02946     0.00000
   -15.02798     0.19040     0.02936     0.02958     0.00000
   -15.01498     0.19124     0.02950     0.02970     0.00000
   -15.00098     0.19206     0.02962     0.02982     0.00000
   -14.98798     0.19290     0.02974     0.02994     0.00000
   -14.97398     0.19374     0.02986     0.03006     0.00000
   -14.96098     0.19458     0.02998     0.03018     0.00000
   -14.94798     0.19542     0.03010     0.03030     0.00000
   -14.93398     0.19626     0.03022     0.03042     0.00000
   -14.92098     0.19710     0.03034     0.03054     0.00000
   -14.90698     0.19794     0.03048     0.03066     0.00000
   -14.89398     0.19878     0.03060     0.03078     0.00000
   -14.87998     0.19962     0.03072     0.03090     0.00000
   -14.86698     0.20040     0.03084     0.03102     0.00000
   -14.85298     0.20140     0.03096     0.03114     0.00000
   -14.83998     0.20220     0.03108     0.03126     0.00000
   -14.82698     0.20300     0.03118     0.03138     0.00000
   -14.81298     0.20380     0.03130     0.03150     0.00000
   -14.79998     0.20480     0.03142     0.03162     0.00000
   -14.78598     0.20560     0.03154     0.03174     0.00000
   -14.77298     0.20640     0.03166     0.03186     0.00000
   -14.75898     0.20720     0.03178     0.03198     0.00000
   -14.74598     0.20820     0.03190     0.03208     0.00000
   -14.73198     0.20900     0.03202     0.03220     0.00000
   -14.71898     0.20980     0.03214     0.03232     0.00000
   -14.70598     0.21080     0.03224     0.03244     0.00000
   -14.69198     0.21160     0.03236     0.03256     0.00000
   -14.67898     0.21240     0.03252     0.03268     0.00000
   -14.66498     0.21320     0.03270     0.03284     0.00000
   -14.65198     0.21420     0.03290     0.03304     0.00000
   -14.63798     0.23780     0.03766     0.03484     0.00000
   -14.62498     0.23700     0.03758     0.03498     0.00000
   -14.61098     0.25840     0.04188     0.03666     0.00000
   -14.59798     0.25620     0.04152     0.03670     0.00000
   -14.58498     0.27560     0.04120     0.04252     0.00000
   -14.57098     0.27260     0.04084     0.04216     0.00000
   -14.55798     0.26980     0.04050     0.04182     0.00000
   -14.54398     0.26720     0.04016     0.04150     0.00000
   -14.53098     0.26460     0.03982     0.04116     0.00000
